id;est_a_emporter;date_heure_creation;date_heure_livraison
1;false;2022-10-11T19:06:23;2022-10-12T10:30:41
2;true;2022-10-11T17:08:14;2022-10-12T05:54:10
3;true;2022-10-12T07:16:46;2022-10-11T18:17:18
4;true;2022-10-12T00:02:30;2022-10-11T19:53:08
5;true;2022-10-12T04:09:21;2022-10-12T05:16:27
6;true;2022-10-11T16:48:20;2022-10-11T23:23:16
7;false;2022-10-11T17:00:01;2022-10-11T14:51:48
8;true;2022-10-12T00:02:21;2022-10-11T18:20:50
9;false;2022-10-11T22:44:52;2022-10-12T08:59:35
10;true;2022-10-11T20:37:47;2022-10-11T21:25:12
